City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,port-aux-francais,-49.35,70.2167,42.08,72,64,31.41,TF,1681915959
1,adamstown,-25.066,-130.1015,76.1,77,24,11.97,PN,1681915959
2,albany,42.6001,-73.9662,43.18,67,67,4.0,US,1681915897
3,puerto ayora,-0.7393,-90.3518,82.36,96,99,3.0,EC,1681915959
4,shiyan,32.6475,110.7781,71.26,74,0,0.74,CN,1681915942
5,waitangi,-43.9535,-176.5597,60.82,94,100,10.0,NZ,1681915960
6,yellowknife,62.456,-114.3525,25.32,68,20,9.22,CA,1681915847
7,bethel,41.3712,-73.414,49.01,58,100,10.36,US,1681915960
8,gadzhiyevo,69.2551,33.3362,37.53,99,100,17.05,RU,1681915960
9,la'ie,21.6477,-157.9253,76.96,84,100,5.01,US,1681915961
10,manicore,-5.8092,-61.3003,80.55,89,100,5.75,BR,1681915961
11,barcelos,41.5388,-8.6151,75.92,51,1,7.14,PT,1681915777
12,bredasdorp,-34.5322,20.0403,71.76,44,100,6.06,ZA,1681915962
13,colonia,50.9333,6.95,61.86,29,0,18.41,DE,1681915955
14,grytviken,-54.2811,-36.5092,38.07,82,79,4.27,GS,1681915963
15,coquimbo,-29.9533,-71.3436,64.13,55,0,4.61,CL,1681915919
16,invercargill,-46.4,168.35,46.42,96,16,4.09,NZ,1681915965
17,margaret river,-33.95,115.0667,55.08,73,0,6.98,AU,1681915966
18,puerto natales,-51.7236,-72.4875,52.25,82,75,28.77,CL,1681915966
19,selfoss,63.9331,-20.9971,49.46,90,97,9.91,IS,1681915966
20,olonkinbyen,70.9221,-8.7187,35.28,86,41,13.76,SJ,1681915967
21,iqaluit,63.7506,-68.5145,10.13,85,100,3.44,CA,1681915967
22,tofol,5.3248,163.0078,81.84,74,100,8.99,FM,1681915967
23,strelka,58.0728,93.0344,22.01,95,100,5.17,RU,1681915968
24,lormi,22.2833,81.7333,90.5,17,2,7.36,IN,1681915968
25,happy valley-goose bay,53.3168,-60.3315,39.51,81,100,5.75,CA,1681915968
26,ust-nera,64.5667,143.2,5.81,99,100,6.08,RU,1681915968
27,navia,43.5354,-6.7194,65.62,58,0,7.14,ES,1681915968
28,college,64.8569,-147.8028,17.55,70,40,11.5,US,1681915969
29,sinabang,2.4803,96.3801,81.37,78,93,3.91,ID,1681915969
30,kone,-21.0595,164.8658,70.05,91,0,0.83,NC,1681915969
31,aketi,2.7388,23.7833,97.12,31,81,4.09,CD,1681915969
32,sulak,43.2734,47.5146,50.0,73,39,20.76,RU,1681915970
33,gorgan,36.8387,54.4348,66.16,60,0,13.8,IR,1681915970
34,papatowai,-46.5619,169.4708,48.79,94,24,4.29,NZ,1681915970
35,tual,-5.6667,132.75,82.31,77,12,9.93,ID,1681915970
36,tiksi,71.6872,128.8694,-5.37,100,100,3.85,RU,1681915970
37,siracusa,37.0881,15.2792,63.99,71,6,13.62,IT,1681915912
38,edinburgh of the seven seas,-37.0676,-12.3116,63.03,68,100,23.53,SH,1681915970
39,hamilton,39.1834,-84.5333,61.9,47,0,10.36,US,1681915971
40,port-vila,-17.7338,168.3219,75.78,78,28,1.61,VU,1681915971
41,vilyuysk,63.7553,121.6247,7.21,99,74,3.29,RU,1681915971
42,pisco,-13.7,-76.2167,73.45,73,0,11.5,PE,1681915971
43,vilyuchinsk,52.9306,158.4028,37.67,90,100,5.3,RU,1681915818
44,bilibino,68.0546,166.4372,17.31,95,100,2.89,RU,1681915972
45,kerouane,9.2667,-9.0167,98.64,22,90,7.81,GN,1681915972
46,blackmans bay,-43.0167,147.3167,48.72,71,69,7.94,AU,1681915972
47,thompson,55.7435,-97.8558,15.96,67,100,6.91,CA,1681915931
48,xacmaz,41.4635,48.806,54.45,72,7,4.79,AZ,1681915972
49,vodnyy,63.5046,53.4095,33.48,93,100,5.64,RU,1681915972
50,udachny,66.4167,112.4,3.52,100,67,5.39,RU,1681915973
51,sitka,57.0531,-135.33,42.69,65,100,4.61,US,1681915973
52,newman,37.3138,-121.0208,48.88,78,3,2.71,US,1681915973
53,san antonio de pale,-1.4014,5.6325,83.77,76,100,11.3,GQ,1681915973
54,vorgashor,67.5833,63.95,23.88,96,98,8.72,RU,1681915973
55,el bolson,-41.9667,-71.5167,55.76,84,100,4.16,AR,1681915973
56,igarka,67.4667,86.5833,5.49,97,88,3.83,RU,1681915974
57,sisimiut,66.9395,-53.6735,19.15,80,100,5.17,GL,1681915974
58,spanish wells,26.323,-81.7957,76.98,70,0,9.22,US,1681915974
59,balabac,7.9868,117.0645,82.24,78,23,7.83,PH,1681915974
60,hawaiian paradise park,19.5933,-154.9731,73.04,96,40,9.22,US,1681915975
61,vernon,50.2581,-119.2691,33.6,88,99,6.91,CA,1681915975
62,atafu village,-8.5421,-172.5159,82.15,70,36,1.92,TK,1681915975
